3,,,,,,,,,,,,,,,,Stream #1,,,,,,,,,,,Stream #2,,,,,,,Stream #3,,,,,,
Photonum,SortChem,Old Micronum,Site Name,Date,Sample_Collection_Time_hr,H2O2_start_time_hr,Sample_Depth_m,Water_Depth_m,Water_type,Cond_(uS/cm),pH,Water_cdtns,Wind_speed_kts,Sky_cdtns,NOTES:,C-SCG,C-FISH,C-NA,100-TEM,100-LTR,53-TEM,53-LTR,3-NA,0.22-NA,V-SYBR,V-Cult,Abs/EEM,DOC,BacResp,BacProd,H2O2 snapshot,H2O2 whole,H2O2 filtered,100 µm - EtOH,100 µm - Gly,20 µm - EtOH,20 µm - Gly,.8 µm - EtOH,.8 µm - Gly,.45 µm - virus
E140058/74,E2014-0049,E2014-0049,WLE13,4-Aug-14,2:10 PM,2:25 PM,DepthINT,8.3,LA,,8.798,C,<5,S,microcysitis colonies,,,X,,,,,,,,,X,X,,,X,X,X,,,,,,,
E140059,E2014-0050,E2014-0050,WLE4,4-Aug-14,2:55 PM,3:10 PM,DepthINT,8.0,LA,,9.128,C,5 - 10,N,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
E140060,E2014-0051,E2014-0051,WLE8,4-Aug-14,3:35 PM,3:50 PM,DepthINT,4.2,LA,,9.422,M,10 - 15,L,,,,X,,,,,,,,,X,X,,,X,X,X,,,,,,,
E140061,E2014-0052,E2014-0052,WLE2,11-Aug-14,11:40 AM,12:00 PM,0.01,5.1,LA,,9.168,R,10 - 15,R,pump tubing forgotten - surface grabs for 11 Aug samples,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
E140062,E2014-0053,E2014-0053,WLE6,11-Aug-14,12:05 PM,12:20 PM,0.01,2.8,LA,,9.098,R,5 - 10,R,,,,X,,,,,,,,,X,X,,,X,X,X,,,,,,,
E140063,E2014-0054,E2014-0054,WLE12,11-Aug-14,12:35 PM,2:40 PM,0.01,6.1,LA,,8.613,R,10 - 15,O,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
E140064/162,E2014-0055,E2014-0055,WLE13,11-Aug-14,1:05 PM,2:45 PM,0.01,8.3,LA,,8.605,R,10 - 15,O,,,,X,,,,,,,,,X,X,,,X,X,X,,,,,,,
E140065,E2014-0056,E2014-0056,WLE4,11-Aug-14,1:30 PM,2:48 PM,0.01,8.1,LA,,9.019,R,10 - 15,R,"pH measured, filter for H2O2 at  2:30 PM - Stream 1 processed 2:30pm",X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
E140066/163,E2014-0057,E2014-0057,WLE8,11-Aug-14,2:00 PM,2:50 PM,0.01,4.2,LA,,9.016,R,10 - 15,R,"pH measured, filter for H2O2 at  2:30 PM - Stream 1 processed 2:30pm",,,X,,,,,,,,,X,X,,,X,X,X,,,,,,,
E140067,E2014-0058,E2014-0058,WLE2,18-Aug-14,9:45 AM,1:50 PM,DepthINT,4.7,LA,,9.032,R,10 - 15,L,"pH measured, filter for H2O2 at dock",X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
E140068,E2014-0059,E2014-0059,WLE6,18-Aug-14,10:20 AM,1:57 PM,DepthINT,2.5,LA,,8.933,R,10 - 15,S,"pH measured, filter for H2O2 at dock",,,X,,,,,,,,,X,X,,,X,X,X,,,,,,,
E140069,E2014-0060,E2014-0060,WLE12,18-Aug-14,11:15 AM,2:05 PM,DepthINT,6.0,LA,,9.033,R,10 - 15,N,"pH measured, filter for H2O2 at dock",X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
E140070/75,E2014-0061,E2014-0061,WLE13,18-Aug-14,11:50 AM,2:09 PM,DepthINT,8.4,LA,,8.530,M,10 - 15,N,"pH measured, filter for H2O2 at dock",,,X,,,,,,,,,X,X,,,X,X,X,,,,,,,
E140071/76/166,E2014-0062,E2014-0062,WLE4,18-Aug-14,12:45 PM,2:14 PM,DepthINT,8.0,LA,,8.550,R,10 - 15,N,"pH measured, filter for H2O2 at dock",X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
E140072,E2014-0063,E2014-0063,WLE8,18-Aug-14,1:20 PM,2:19 PM,DepthINT,4.1,LA,,9.085,M,10 - 15,N,"pH measured, filter for H2O2 at dock",,,X,,,,,,,,,X,X,,,X,X,X,,,,,,,
E140077,E2014-0064,E2014-0064,WLE2,25-Aug-14,10:00 AM,10:20 AM,DepthINT,4.8,LA,,9.020,C,10.0,O,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,
E140078,E2014-0065,E2014-0065,WLE6,25-Aug-14,10:30 AM,10:45 AM,DepthINT,2.8,LA,,9.172,C,10.0,S,,,,X,,,,,,,,,X,X,,,X,X,X,,,,,,,
E140079,E2014-0066,E2014-0066,WLE12,25-Aug-14,11:15 AM,11:30 AM,DepthINT,6.0,LA,,9.294,C,5 - 10,N,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,
E140080/165,E2014-0067,E2014-0067,WLE13,25-Aug-14,11:45 AM,12:05 PM,DepthINT,8.1,LA,,8.850,C,10.0,N,,,,X,,,,,,,,,X,X,,,X,X,X,,,,,,,
E140081/164,E2014-0068,E2014-0068,WLE4,25-Aug-14,12:30 PM,12:40 PM,DepthINT,7.9,LA,,8.509,C,10.0,N,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,
E140082,E2014-0069,E2014-0069,WLE8,25-Aug-14,1:05 PM,1:20 PM,DepthINT,4.6,LA,,9.116,C,10.0,N,,,,X,,,,,,,,,X,X,X,X,X,X,X,,,,,,,
E140098,E2014-0070,int-1,WLE2 Surface,26-Aug-14,10:25 AM,11:48 AM,0.1,,LA,,9.020,C,,N,intensive cruise; sortchems 0070 to 0105 were initially labeled differently in stream 1 (and 3?),,,X,,,,,,,,,X,X,,,X,X,,X,X,X,X,X,X,X
E140099,E2014-0071,int-2,WLE2 Bottom ,26-Aug-14,10:30 AM,12:01 PM,4,  ,LA,,9.019,C,,N,intensive cruise,,,X,,,,,,,,,X,X,,,X,X,,,,,,,,
E140100,E2014-0072,int-3,WLE12 Surface,26-Aug-14,11:19 AM,12:08 PM,0.1,,LA,,9.181,C,,N,intensive cruise,,,X,,,,,,,,,X,X,,,X,X,,X,X,X,X,X,X,X
E140101,E2014-0073,int-4,WLE12 Bottom ,26-Aug-14,11:25 AM,12:58 PM,4,,LA,,9.161,C,,N,"intensive cruise, time collected not written - estimate",,,X,,,,,,,,,X,X,,,X,X,,,,,,,,
E140102,E2014-0074,int-5,WLE4 Surface,26-Aug-14,12:20 PM,12:43 PM,0.1,,LA,,8.58,C,,N,intensive cruise,,,X,,,,,,,,,X,X,,,X,X,,X,X,X,X,X,X,X
E140103,E2014-0075,int-6,WLE4 Bottom,26-Aug-14,12:25 PM,12:50 PM,6,,LA,,8.60,C,,N,"intensive cruise, time collected not written - estimate",,,X,,,,,,,,,X,X,,,X,X,,,,,,,,
E140104,E2014-0076,E2014-0070,WLE2,2-Sep-14,10:30 AM,10:45 AM,DepthINT,4.2,LA,,8.845,R,10 - 15,O,just had rained; sortchems 0070 to 0105 were initially labeled differently in stream 1 (and 3?),X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
E140105,E2014-0077,E2014-0071,WLE6,2-Sep-14,10:55 AM,11:05 AM,0.1,2.9,LA,,9.036,M,10 - 15,O,,,,X,,,,,,,,,X,X,,,X,X,X,,,,,,,
