SampleID	Samplenum	Date	Date_year	Days	Station	Fraction	Photonum	pH	Type	Intensive	Arrival	Departure	Sky	StationDepth	Secchi	Temp	Turbidity	ParMC	DissMC	Phycocyanin	Chla	Bloom	LogPhyco	LogChla	LogParMC
E0068_100LTR	E0068	8/25	8/25/14	90	WE4	100L	E140081/164	8.509	sample	n	12:19	12:32	sunny	7.9	3	23.9	1.01	0.1		1.37	3.56	c	0.454175893	1.831877241	-3.321928095
E0068_22NA	E0068	8/25	8/25/14	90	WE4	22NA	E140081/164	8.509	sample	n	12:19	12:32	sunny	7.9	3	23.9	1.01	0.1		1.37	3.56	c	0.454175893	1.831877241	-3.321928095
E0068_CNA	E0068	8/25	8/25/14	90	WE4	CNA	E140081/164	8.509	sample	n	12:19	12:32	sunny	7.9	3	23.9	1.01	0.1		1.37	3.56	c	0.454175893	1.831877241	-3.321928095
E0070_CNA	E0070	8/26	8/26/14	91	WE2	CNA	E140098	9.02	sample	surface				NA		NA	NA			NA	NA	NA			
E0071_CNA	E0071	8/26	8/26/14	91	WE2	CNA	E140099	9.019	sample	bottom				NA		NA	NA			NA	NA	NA			
E0072_CNA	E0072	8/26	8/26/14	91	WE12	CNA	E140100	9.181	sample	surface				NA		NA	NA			NA	NA	NA			
E0073_CNA	E0073	8/26	8/26/14	91	WE12	CNA	E140101	9.161	sample	bottom				NA		NA	NA			NA	NA	NA			
E0074_CNA	E0074	8/26	8/26/14	91	WE4	CNA	E140102	8.58	sample	surface				NA		NA	NA			NA	NA	NA			
E0075_CNA	E0075	8/26	8/26/14	91	WE4	CNA	E140103	8.6	sample	bottom				NA		NA	NA			NA	NA	NA			
E0076_100LTR	E0076	9/2	9/2/14	98	WE2	100L	E140104	8.845	sample	n	10:16	10:30	cloudy	4.2	0.4	NA	19.3	0.6	0	7.11	36.74	c	2.82984956	5.199279721	-0.736965594
E0076_22NA	E0076	9/2	9/2/14	98	WE2	22NA	E140104	8.845	sample	n	10:16	10:30	cloudy	4.2	0.4	NA	19.3	0.6	0	7.11	36.74	c	2.82984956	5.199279721	-0.736965594
E0076_CNA	E0076	9/2	9/2/14	98	WE2	CNA	E140104	8.845	sample	n	10:16	10:30	cloudy	4.2	0.4	NA	19.3	0.6	0	7.11	36.74	c	2.82984956	5.199279721	-0.736965594
E0078_100LTR	E0078	9/2	9/2/14	98	WE12	100L	E140106	8.901	sample	n	11:22	11:35	cloudy	5.8	0.6	NA	11.1	0.3	0	6.25	23.62	c	2.64385619	4.56193706	-1.736965594
E0078_22NA	E0078	9/2	9/2/14	98	WE12	22NA	E140106	8.901	sample	n	11:22	11:35	cloudy	5.8	0.6	NA	11.1	0.3	0	6.25	23.62	c	2.64385619	4.56193706	-1.736965594
E0078_CNA	E0078	9/2	9/2/14	98	WE12	CNA	E140106	8.901	sample	n	11:22	11:35	cloudy	5.8	0.6	NA	11.1	0.3	0	6.25	23.62	c	2.64385619	4.56193706	-1.736965594
E0080_100LTR	E0080	9/2	9/2/14	98	WE4	100L	E140108	8.631	sample	n	12:31		rainy	7.8	1	NA	6.72	0.2	0	7.53	28.42	c	2.912649865	4.828834649	-2.321928095
E0080_22NA	E0080	9/2	9/2/14	98	WE4	22NA	E140108	8.631	sample	n	12:31		rainy	7.8	1	NA	6.72	0.2	0	7.53	28.42	c	2.912649865	4.828834649	-2.321928095
E0080_CNA	E0080	9/2	9/2/14	98	WE4	CNA	E140108	8.631	sample	n	12:31		rainy	7.8	1	NA	6.72	0.2	0	7.53	28.42	c	2.912649865	4.828834649	-2.321928095
E0082_100LTR	E0082	9/8	9/8/14	104	WE2	100L	E140116	8.86	sample	n	9:51	10:08	sunny	4.8	0.8	NA	9.23	0.6	0.48	3.24	20.77	c	1.695993813	4.376429311	-0.736965594
E0082_22NA	E0082	9/8	9/8/14	104	WE2	22NA	E140116	8.86	sample	n	9:51	10:08	sunny	4.8	0.8	NA	9.23	0.6	0.48	3.24	20.77	c	1.695993813	4.376429311	-0.736965594
E0082_CNA	E0082	9/8	9/8/14	104	WE2	CNA	E140116	8.86	sample	n	9:51	10:08	sunny	4.8	0.8	NA	9.23	0.6	0.48	3.24	20.77	c	1.695993813	4.376429311	-0.736965594
E0084_100LTR	E0084	9/8	9/8/14	104	WE12	100L	E140118	8.77	sample	n	11:08	11:23	sunny	6	0.7	NA	9.46	0.4	0.31	4.44	23.2	c	2.150559677	4.5360529	-1.321928095
E0084_22NA	E0084	9/8	9/8/14	104	WE12	22NA	E140118	8.77	sample	n	11:08	11:23	sunny	6	0.7	NA	9.46	0.4	0.31	4.44	23.2	c	2.150559677	4.5360529	-1.321928095
E0084_CNA	E0084	9/8	9/8/14	104	WE12	CNA	E140118	8.77	sample	n	11:08	11:23	sunny	6	0.7	NA	9.46	0.4	0.31	4.44	23.2	c	2.150559677	4.5360529	-1.321928095
E0086_100LTR	E0086	9/8	9/8/14	104	WE4	100L	E140120	8.864	sample	n	12:29	12:43	sunny	7.8	1.4	NA	6.55	0.8	0.25	15.81	26.24	d	3.982765463	4.713695815	-0.321928095
E0086_22NA	E0086	9/8	9/8/14	104	WE4	22NA	E140120	8.864	sample	n	12:29	12:43	sunny	7.8	1.4	NA	6.55	0.8	0.25	15.81	26.24	d	3.982765463	4.713695815	-0.321928095
E0086_CNA	E0086	9/8	9/8/14	104	WE4	CNA	E140120	8.864	sample	n	12:29	12:43	sunny	7.8	1.4	NA	6.55	0.8	0.25	15.81	26.24	d	3.982765463	4.713695815	-0.321928095
E0088_100LTR	E0088	9/15	9/15/14	111	WE2	100L	E140139	8.288	sample	n	9:51		cloudy	5.2	0.7	19.3	10.2	0.7	0.87	9.1	13.72	d	3.185866545	3.778208576	-0.514573173
E0088_22NA	E0088	9/15	9/15/14	111	WE2	22NA	E140139	8.288	sample	n	9:51		cloudy	5.2	0.7	19.3	10.2	0.7	0.87	9.1	13.72	d	3.185866545	3.778208576	-0.514573173
E0088_CNA	E0088	9/15	9/15/14	111	WE2	CNA	E140139	8.288	sample	n	9:51		cloudy	5.2	0.7	19.3	10.2	0.7	0.87	9.1	13.72	d	3.185866545	3.778208576	-0.514573173
E0090_100LTR	E0090	9/15	9/15/14	111	WE12	100L	E140141	8.505	sample	n	11:16	11:30	cloudy	5.8	0.4	18.4	15	1.3	1.04	4.78	18.49	d	2.257010618	4.20867332	0.378511623
E0090_22NA	E0090	9/15	9/15/14	111	WE12	22NA	E140141	8.505	sample	n	11:16	11:30	cloudy	5.8	0.4	18.4	15	1.3	1.04	4.78	18.49	d	2.257010618	4.20867332	0.378511623
E0090_CNA	E0090	9/15	9/15/14	111	WE12	CNA	E140141	8.505	sample	n	11:16	11:30	cloudy	5.8	0.4	18.4	15	1.3	1.04	4.78	18.49	d	2.257010618	4.20867332	0.378511623
E0092_100LTR	E0092	9/15	9/15/14	111	WE4	100L	E140143	8.137	sample	n	12:14		rainy	8	3	19.6	2.22	0.1	0.1	0.91	3.94	e	-0.13606155	1.97819563	-3.321928095
E0092_22NA	E0092	9/15	9/15/14	111	WE4	22NA	E140143	8.137	sample	n	12:14		rainy	8	3	19.6	2.22	0.1	0.1	0.91	3.94	e	-0.13606155	1.97819563	-3.321928095
